Tweet,Kelas
"""Formula One"" mendeklarasikan dukungan mereka kepada Calon Presiden dan Wakilnya Jokowi dan Ma'aruf Amin. #ElectionUpdate @Metro_TV",0
Jokowi - Ma'aruf amin menuju Indonesia lebih maju #01RabuHijrah,1
"Assalamualaikum CAK IMIN
BELI BERAS DI KOTA CIAWI..
BELINYA DI WARUNG BU MIMIN..
ORANG CERDAS CINTA JOKOWI..
YANG WAKILNYA MA'ARUF AMIN..

MASAK SAWI PAKAI ARANG..
KARENA PANAS DI DIAMIN...
PAK JOKOWI DISUKAI ORANG...
KARENA TEMANNYA CAK IMIN..
#01IndonesiaMaju #01JokowiLagi",1
"Deklarasi Forum Alumni Perguruan Tinggi se Jawa Timur, untuk mendukung Jokowi Ma’aruf Amin di Pilpres 2019.

#JatimMenangkanJokowi
#JatengMenangkanJokowi
#JokowiKanJakarta
#OrangPintarMenangkanJokowi
#IndonesiaMaju",1
"Al-Miftahussaadah, bersama tokoh ulama serta tokoh masyarakat mendukung pasangan Joko Widodo dan KH. Ma’aruf Amin.

#2019JokowiKyaiMaruf
#2019AcehBersama01
#Bersama01AcehLanjutkan pic.twitter.com/JaSqrJ8GRN",1
"Jadilah manusia yang baik dalam pandangan Allah....!!

~ K.H. Ma'aruf Amin ~

#JokowiAminLebihBaik
#JokowiAminMenangDebat 
#JokowiOrangBaik 
#JokowiAmin #pilpres2019",1
Fokus menangkan pak @jokowi dan pak haji Ma'aruf Amin ,1
"Setelah Nonton @MataNajwa ""Politik Sarung Ma'aruf Amin"" sy makin yakin untuk memilih pasangan 01.

#IkutKyai",1
"Kami warga Nahdiin sangat bersyukur memiliki Tokoh Muda Panutan yg penuh inspiratif ""Muhaimin Iskandar"", yg terus menyuarakan kemenangan Jokowi-KH. Ma'aruf Amin. #CakIminMenangkanJokowi 
@Jokowi @EkoSandjojo @SyaifulHooda",1
ini yg bisa kita mengis hati dan renungkan kita kuatkan hati kita pokus samabil mengucap bismillaahir rohmaanir rohiim kita tekadkan hati arahkan pilihan kita yg terbaik yg insa allah bisa menjadi pemimpin yg baik jokowi-kyai ma'aruf amin insa allah #IndonesiaMaju bersama mereka,1
17April kita pilih pemimpin  jokowi-ma'afuf amin  jokowi dari rakyat ma'aruf amin dari ulama mereka cocok untuk menjadi pemimpin negri ini kita pilih jokowi  kita stop berita hoax  ayo kita pilih 01 jokowi-ma'aruf jangan salah ya no1 #17AprilPilihJokowi #jokowiorangbaik,1
