Tweet,Kelas
"""Formula One"" mendeklarasikan dukungan mereka kepada Calon Presiden dan Wakilnya Jokowi dan Ma'aruf Amin. #ElectionUpdate @Metro_TV",0
"VIDEO: Kyai Haji Ma'aruf Amin Sebut 'Serangan' Jokowi Bentuk Klarifikasi - ---
[ #KyaiHajiMaarufAmin, #mediatama, #Pilpres2019, #SeranganJokowi ]",0
DPW PNA Aceh Selatan Tegaskan Dukung Jokowi – Ma’aruf Amin http://liputanrakyat.com/dpw-pna-aceh-selatan-tegaskan-dukung-jokowi-maaruf-amin/ … pic.twitter.com/V5QjzyGQJu,0
"Peluncuran dan diskusi buku kiyai @maarufaminews

The Ma'aruf Amin way

Semoga bermanfaat bagi para pembaca. ",0
Si chemong suka nontonin eyang ma’aruf amin ternyata ,0
"Jokowi believes that releasing Ba'asyir will win him votes with Islamists. This is inane. As w/choice of Ma'aruf Amin, the Islamists will never vote for him. More importantly, his choices alienate his more secular base whom he needs to show up on election day. A wasted pander.",0
"After the debate what I've learned is that Ma'aruf Amin needs to AFK less, Jokowi is great at attacking opposition, Sandiaga is a meme, and Prabowo is a bottlejob #DebatPilpres2019",0
Ma’aruf Amin after being silent for so long: ,0
"Jokowi asks Prabowo-Sandi about gender and women's political representation. Prabowo says his party is new so that's why there's no women at the top, but that they have a women's wing so everything is fine.",0
"Ngga sia-sia nunggu moment Pak Ma'aruf Amin ngomong, pas ngebahas soal terorisme sungguh mashook Pak kyai.

#CurhatPilpres2019",0
I feel bad for K.H. Ma'aruf Amin. I really need a person that can satisfy my mind and my ears. #DebatPilplres2019,0
Ma'aruf Amin epic comeback!!! #DebatPilpres2019,0
"I feel so bad for Ma’aruf Amin he doesn’t say words & when he started to talk the time ran out & when he picked a ball for question, the ball fell immediately ",0
CAN WE ACTUALLY APPRECIATE MA’ARUF AMIN? i like that guy despite how little he spoke but how influential he was when he did #DebatPilpres2019,0
"Ma'aruf Amin, a debating powerhouse ",0
istg ma'aruf amin is literally me in real life #DebatPilpres2019,0
"and yes, Ma'aruf Amin is detrimental to Jokowi's side. he seems clueless about human rights and literally has nothing to add.",0
*Ma'aruf Amin reconnected. *Ma'aruf Amin join the battle #DebatPilpres2019,0
Seriously what's Ma'aruf Amin doing there? I feel like the second-hand embarassment by looking at him like a lost old man #DebatPilpres2019,0
Ma'aruf Amin just started using his religious insights. Keep going on like this and he'll do safe.,0
"Ma'aruf Amin seems become a Cryptonite to Jokowi.
I have a bad feeling for tonite's Debate.
#DebatPertamaPilpres2019 
#DebatPilpres2019",0
"Ma'aruf Amin's wife is much younger than he is, isn't she...",0
*Menanti debat perdana capres cawapres JOKOWI - MA'ARUF AMIN vs PRABOWO - SANDIAGA UNO live at station tv... How's be A WINNER than How's be A... ,0
"As Prabowo steps up his game, no easy victory in sight for Jokowi, who has failed to deliver the growth he had promised, while alienating his base with the selection of Ma'aruf Amin as his VP.  ",0
"Di debat Pak Jokowi akan menang lawan Pak Prabowo.

Di setiap topik -- Pak Jokowi saja bicara ke urusan implementasi, ilustrasi2 praktis.…",0
Cawapres Maruf Amin menyatakan menyesal menjadi saksi sehingga memberatkan Ahok dan menyebabkan Ahok masuk penjara. Dia melakukan krn terpaksa. ,0
Teguh Santosa: Keputusan Jokowi Memilih Ma’aruf Amin Dipengaruhi Fragmentasi Elit Pendukung #KlikRMOL  #jokowi https://politik.rmol.co/read/2019/01/01/373155/Teguh-Santosa:-Keputusan-Jokowi-Memilih-Ma …’aruf-Amin-Dipengaruhi-Fragmentasi-Elit-Pendukung-,0
"Lho kok mendadak pak Ma'aruf Amin lupa kalau dia kyai ? Memang ada kyai yg gak bisa baca Quran hingga minta diuji.

Apa ini termasuk tanda2 kiamat? ",0
