Tweet,Kelas
Salut @garnesian ,0
Oh ye,0
#Populer Artis from #Indonesia #Viral the best  song #cintaJenaka very good Song @Yanuar_Amory https://www.youtube.com/watch?v=Qm_UA6WrSP0 …  #thankunext #Home7thWin #jumatpuisi #BreakoutLive #Connect2Earth @TVRINasional @infoSUMSEL @instagram @malaysiakini @TwitterSG @KFCINDONESIA @InstagramMusic,0
lol tolol,0
So we muslims have only been used by @prabowo @Gerindra so far?? Does he go for Friday prayer today? #PrabowoJumatanDimana,0
This is what i got from net @jokowi n @prabowo our country is ready for development.pick investors wisely Sir. Im proud of Indonesia as a country...i have been traveling to many countries..n wish one day we can br better than other countries ,0
"Jokowi accuses challenger of employing “Russian Propaganda” in presidential race. Read more on @STcom
#USINDODailyNews #Indonesia #Russia #Prabowo #Jokowi #Fakenews",0
jaman lain to,0
Amin....,0
Firehorse of Roballynhood,0
Amin,0
NO WAY!,0
Waduhhhh,0
"Watch ""LAGU THE POWER OF EMAK - EMAK SIAK - PRABOWO SANDI"" on YouTube ",0
"Simple, logic ..",0
Amiiiiinnn,0
Amiiin ,0
Sweet2nd,0
Presiden gagal ,0
Jokowi vs Prabowo : Who is The Best for Indonesia ? ,0
Prabowo Camp Accuse Pollsters for Being Biased Toward Jokowi http://dlvr.it/QyRkDQ ,0
I do think you speak russian better than english,0
Preeet...,0
"Bung, who used to say who the PKI is ? You have to think more healthy and know the issues that are developing.
In the past, those who made the PKI issue were PRABOWO own camp against Pak JOKOWI, now you pretend that BEGO said PRABOWO was accused of being PKI.
It's called you BEGO",0
Aminnn ,0
SOP nya playing victim,0
A recent survey shows Indonesians are interested in and accept human rights - but acceptance of human rights has its limits http://indonesiaatmelbourne.unimelb.edu.au/do-indonesians-still-care-about-human-rights/ …,0
Answered this Firehose of Falsehood thing as far as I know.,0
"Indonesian Presidential Election 2019 – Old Soldiers Never Die: Retired Officers Behind Jokowi, Prabowo https://www.rsis.edu.sg/rsis-publication/rsis/indonesian-presidential-election-2019-old-soldiers-never-die-retired-officers-behind-jokowi-prabowo/#.XFFrqlwzbIU …",0
"Probably need to mute ""01"", ""02"", ""Jokowi"", and ""Prabowo"" because every single day trending topic filled with these shits. Oh have you ever see the tweets itself? All of them are weirdly structured/not natural, pretty sure most of them are hired buzzers/bots.",0
Jokowi and Prabowo Promises to Look After TNI Welfare http://dlvr.it/QyRLXW ,0
Amin,0
hatrick dong,0
Itu display,0
Prabowo Camp Accuse Pollsters for Being Biased Toward Jokowi http://po.st/DzC9Qp  via @po_st,0
Thanks,0
Blitz? ,0
"Sumber :
https://seword.com/umum/prabowo-maling-teriak-maling-_2ie3-jFM?fbclid=IwAR3IH7o1neBlvT6fqJQK6yh0uUfIckRHpYPMQjGsXzM087oYGeHmmkpC7iY …",0
Sambil pake hashtag dong?! #AgnezMo #SocialStarAward #iHeartAwards thanks,0
"Pemimpin & Agama 
A Thread

1. Saya tidak setuju ketika agama dijadikan penentu untuk memilih…",0
@BobbySrn mention for follback. Follow for follow. Follow for lyfe. Lyfe is follow. Follow number 1. Number 2 is prabowo,0
Amin,0
Stop 2priode ,0
"hmmm...mmmm... hmmm mmmm.. emmmm... 

https://m.merdeka.com/politik/survei-lsi-denny-ja-selisih-jokowi-dan-prabowo-hanya-14-persen-di-pemilih-muslim.html …",0
Mantaaapp...,0
"Tidak Arif Pemimpin Sebar Hoax

@Prabowo: ""Tidak guna dan tidak bertanggung jawab dan tidak arif…",0
"""God loves clean people, then clean your “Face"" at least 5 times a day using clean water or dust"".
  
(someone wise)   \m/_",0
@prabowo track record konpres hoax @RatnaSpaet,0
Bullshit,0
"Happy Friday, Pak @prabowo 
.
. ",0
"Apparently Prabowo's iconis suit is inspired by """"Baby Doc""Duvalier, the former dictator of Haiti? via /r/indonesia http://bit.ly/2Bow1LU ",0
"Ayo bergeraaaaakkk utk #AksiBelaKiai jangan biarkan #FadliZonBegalUlama terus menerus, dia harus minta maaf atau...... *sila isi titik2nya yaaa ",0
Helow @prabowo helow @sandiuno helow @JameelaOfficial helow @fadlizon @AHMADDHANIPRAST heloow @Gerindra,0
"Well prabowo sandi, you got my mom but not my mind. Hzhzhz. Ckptw",0
Prabowo Camp Not Object to KPU's Plan in 2nd Election Debate http://dlvr.it/QyNzty ,0
Bacot onta,0
Betul2 coy,0
Si @prabowo (the King of HOAX) kena amnesia ,0
"My father just ordered food and when the waitress ask for his name he shouted ""Prabowo!"" I'M—",0
"""You did not clean the dirty dishes with a tissue but with water, because it would be cleaner by using water. Then why did you clean up something more dirty just by using a tissue? You are a filthy people"".
  
(someone wise)   \m/_",0
"10 reasons why Prabowo shouldn't be a President.
#SayNoToPrabohoax",0
"""Those who have patience means they are being helped by God"".
  
(someone wise)   \m/_",0
Indonesia’s 2019 Elections: Beware the Foreign Puppet Wars in the Jokowi-Prabowo Race @Diplomat_APAC,0
"""Do not be a stingy person or a prodigal, because then you will be reproach and regret"".
  
(someone wise)   \m/_ pic.twitter.com/awshYTMzv5",0
Prabowo is democratic,0
Aminnnn...,0
Jokowi Confronts Prabowo to Bring Proof on State Budget Leakage http://dlvr.it/QyMxyJ ,0
"#Jokowi's campaign team has accused his challenger #Prabowo of spreading fake news and hoaxes as part of a ""Russian-style"" propaganda. Prabowo hit back by reporting the president to the Election Supervisory Board. Has this pre-election tit for tat gone too far? #pilpres pic.twitter.com/a4Uf4bcU0J",0
"""The unbelievers always try to get all of the world's pleasures and will never feel enough. While the believers feel enough only by always trying to get God's blessings"".
  
(someone wise)   \m/_",0
"Survei publik Populi Center yg dirilis hari ini: Jokowi-Amin 54,1%, Prabowo-Sandi 31,0%, tdk tahu/tdk jwb 14,9%. Jokowi-Amin masih unggul dgn selisih signifikan. Debat capres tdk punya pengaruh signifikan thdp elektabilita…",0
"Beginilah!
Pemimpin yg pahami masalah

Pemimpin yg siap hadapi tantangan…",0
http://olx.co.id/iklan/anti-karat-mobil-wagon-march-brio-ignis-brv-xenia-calya-livina-crv-l-w-IDyDd6V.html?ad_type=OR#efd5c35d25 … Call/Wa: 0813 3432 7157 /instagram=royalvariasi #bukalapak #tokopedia #jokowi #prabowo #kompascom #kompasmuda #hariankompas #detikcom #merdekadotcom #mediaindonesia #netmedia_info #jpnncom #tribunnews #detikoto #hmetromy #e100ss #CNNIndonesia #royalvariasi pic.twitter.com/uzGVZmIo3B,0
"""If you forget God, then God will make you forget yourself and let you swayed in digression"". 
  
(someone wise) \m/_",0
"""In the heart of the unbelievers there are so many fears which they hide against those who believe in God, then God will bring forth and reveal what they fear"".
  
(someone wise)   \m/_",0
Firehose of Falsehood strategy ,0
"Jokowi, Prabowo could buy more time in VP selection http://thenewvoice.co/jokowi-prabowo-could-buy-more-time-in-vp-selection/ …",0
Prabowo Camp Criticize Jokowi`s Rushed Development Programs http://dlvr.it/QyM3Z2 ,0
"What women's rights? Disappointing presidential debate missed the point | When it comes to gender equality issues, how did President Joko Widodo and Prabowo Subianto fare in their first televised face-off? https://magdalene.co/news-2054-what-womens-rights-disappointing-presidential-debate-missed-the-point.html …",0
Metode Firehos of Falsehood,0
"Mantabs. @AT_AbdillahToha , @DennyJA_WORLD . @prabowo ",0
Mantaps...,0
Prabowo Promises to Fix Indonesia's Mismanaged Natural Wealth http://dlvr.it/QyLrfM ,0
"Tahun 2014 hampir seluruh keluarga mendukung Prabowo. Sekarang di tahun 2019 seluruh anggota keluarga (100%) dukung Pak Jokowi.

Bagaimana dengan keluarga kamu?",0
"[Litmus test cont'd] What about this, eh? 'Iran exports to Indonesia up 52%' https://theiranproject.com/blog/2019/02/07/iran-exports-to-indonesia-up-52/ … Any deductions? [Prabowo, GOD FORBID !!!, would be US' sidekick, the Asian Bolsonaro.] ",0
"Let @ProfYLH proved to you all that @Gerindra tried to deny the fact @prabowo hired Mr.Allyn in 2004 as his political consultant(https://www.google.com/amp/s/www.asiaone.com/asia/tactical-brains-behind-prabowo-campaign%3famp …).Then @Gerindra acted as ""big liar"" as Stanley Greenberg denied that ""No,I have never worked for @jokowi.Please reply @ProfYLH!",0
Prabowo Camp: Govt Constructions a Burden for State Budget http://dlvr.it/QyLgL9 ,0
Indonesia’s 2019 Elections: Beware the Foreign Puppet Wars in the Jokowi-Prabowo Race https://thediplomat.com/2019/02/indonesias-2019-elections-beware-the-foreign-puppet-wars-in-the-jokowi-prabowo-race/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=theurbannewz …,0
Bacot²,0
"BULAN BLUNDER POLITIK

Seharusnya JAE Itu Melupakan Dirinya Adlh Seorang Presiden, Tdk Hanya Mengingat dirinya Seorang…",0
#PenculikanAktivis by kidnapper  pic.twitter.com/QyiM5QuyxP,0
BACOT,0
"Baca baik-baik 
Teliti sebelum vote

Sering kita dengar dari politisi kalau ""Rakyat sudah cerdas""…",0
Prabowo: Economic Development on Wrong Path Since New Order Era http://dlvr.it/QyJrJW ,0
takebeer,0
"""You have not believed in God until you CONVEY all the truth about God"".
  
(someone wise)   \m/_",0
"Sorry, this Is a political question :
Who will you pick next as President
1) Joko Widodo
2) Prabowo Subianto
#IndonesiaChoosing #Indonesia #IndonesiaElection2019",0
Mr @prabowo would be... ,0
NO CAPTION NEEDED !,0
Bersama Bro ⁦@Fahrihamzah⁩ ⁦@rockygerung⁩ semalam di ⁦@ILCtv1⁩ #ILCYangTerjeratUUITE ,0
"""Do not be deceived by those who claim to be pious among you or religious leaders, pay attention to how most of them take the treasures of others in a false way"".
  
(someone wise)   \m/_",0
"""Think and make sure that you are now not being used by the unbelievers for their own benefit, because they justify any means including deception"".
  
(someone wise)   \m/_",0
I will not VOTE for Prabowo & Sandi for sure ,0
sumber :,0
Luthunnaaa.  .......,0
"Please help  vote @AgnezMo
@iHeartRadio @TacoBell

#AgnezMo #SocialStarAward #iHeartAwards

https://twitter.com/iHeartRadio/status/1092555688310648835?s=19 …

Please RT to VOTE too 
(1 RT = 1 VOTE)

Thank you  pic.twitter.com/HDQ7lmBqgM",0
See this Instagram photo by @prabowo https://www.instagram.com/p/BthR5AkAx2B/?utm_source=ig_web_button_share_sheet …,0
"Cakepp..
#RabuSatu",0
Amin,0
"I decide to mute all words of ""jokowi"" & ""prabowo"" cause i am sick of all these political campign ads.",0
"Dulu tokoh2 ini bersaksi kpd publik bhw Prabowo tdk terlibat kejahatan HAM, orang yg tegas, nasionalis, religius &  org yg selalu memikirkan nasib rkytnya. Narasi2 ini keluar dr mulut mrk ketika bersatu dlm satu…",0
Political Shamble Sees Jokowi`s Team Link Prabowo to Rob Allyn http://dlvr.it/QyHMPk ,0
Prabowo Camp Accused of Diversion with Foreign Expert Rumor http://dlvr.it/QyHMMY ,0
"""Seek and come to God by using your mind, then God will come to you"".
  
(someone wise)   \m/_",0
Jokowi accuses Prabowo camp of enlisting foreign propaganda help - The Jakarta Post - Jakarta Post http://dlvr.it/QyHJfs ,0
"@SBYudhoyono I SBY,,,,,, next prabowo ",0
"Alhamdulilah stelah puluhan tahun swiss jdi brangkas duwit rampokan dri NKRI

Akhir nya Takluk di tangan tukang kayu @jokowi…",0
"Firehose of Falsehood Prabowo, Jokowi Waspada! http://jambilink.com/2019/02/06/firehose-of-falsehood-prabowo-jokowi-waspada/ …",0
Indonesia's opposition has taken up the Uighur cause—but will that last if they take power? https://buff.ly/2GaNlI3 ,0
"[Jokowi camp focuses on sharpening Ma'ruf's knowledge on general issues. While the opposite wants Prabowo to focus more on substance than 'useless jargon.']
Such as the perfect sentence to be or to look neutral as a journalist. ",0
"Fck yeahh !! 
.
.
#party #dugem #Pilpres2019 #Jokowi #clubbing #politik #Prabowo ",0
"Unlike w/ Palestinians & Rohingya, Indonesia has been quiet on the China's persecution of Uighur Muslims. Ahead of #Pilpres2019 it has become a rallying cry for opponents of Jokowi. But a Prabowo win would likely not change anything. Me for @ForeignPolicy",0
Let's be fair,0
"Head to head nih 

#eraJokowi #eraSBY #presiden #hutàngRI #pilpres #Jokowi #Prabowo #01IndonesiaMaju",0
Asked me which one im gonna vote jokowi or prabowo it's like choosing between sicko mode or mo bamba,0
"Kau hebohkan dunia
Dengan video potonganmu tanpa
Muat klarifikasi dan lanjutannya…",0
