,Username,Tweet,Kelas
0,Nature Alert,https://www.facebook.com/emma.hankinson.96/posts/10161593745075045 …  WILL ANYONE HELP RESCUE THIS POOR ANIMAL?   @sitiNurbayaLHK  @jokowi  @gakkumKLHK @pak_JK   @ditjenksdae @ditjenppiklhk  @GakkumSumatera @BbksdaPapua @BBKSDARiau   @BKSDAJambi @AcehBksda @bksdadkijakarta,0
1,Zindikat Cinta,We love u pakde @jokowi,1
2,Tora Bukan Sudiro,"bisa jadi.. deal full screen, bayar quarter screen #eh",0
3,"bebas berpihak, aktif ngatain","President Jokowi is facing criticism for failing to achieve the 7% growth target he set. In fact, Jokowi’s target was ambitious for Indonesia. Illustrating his commitment to inclusivity, he's among few leaders who have spoken up in favor of LGBT rights.",2
4,Bambang,This program is really good for my president,1
5,Acep Sugianto,Go go go ... Jokowi go to 2th for President,1
6,d.n aidit sopo jarwo,maruf doesn't deserve jokowi fr,0
7,indria salim,President @jokowi has been bringing Indonesia to an era where people appreciate and make achievements. The Millenial Generation need such an exemplary leader. #BoncengAkuDong @kangdede78 @andreOPA,1
8,Sekretariat Kabinet,President Joko “Jokowi” Widodo called on Indonesian citizens to cast their vote in the upcoming legislative and Presidential elections to be held on 17 April this year. ,1
9,Farid Romansyah,"I LOVE @jokowi 

#CapresPilihanNetizen",1
10,helena ullyartha,Thank you pak,1
11,yayan abu aditya,Preetttt,0
12,dionbonjovi18,"#CapresPilihanNetizen 
Lets go Jokowi all the way! ",1
13,Optimus Prime,Mahall boss,0
14,"guillotine for technofacists  
�","Indonesia’s best hope for presidency, Joko Widodo, had ordered Indonesian military forces & police force to arrest those who were proven to be spreading the ideology of the Indonesian Communist Party (PKI) to be legally processed.",1
15,dinonino13,"Welcome to the jungle
#JkwMentokDi5Persen",0
16,Dini,Waduh..,0
17,Agung Nurhasan,Yeessss #jokowilagi #01menangtotal #jokowimenangtotal #jokowilebihbaik,1
18,TODAY,Jokowi’s latest re-election challenge: People refusing to vote https://tdy.sg/2HY1omb ,0
19,Sabar Setiabudi,Setelah kemarin Pati dan Ngawi sekarang sambutan ceria dan meriah utk Bango di dapatkan di Nganjuk. Kayaknya jadi mewabah ya pendukung Jokowi di mana saja selalu setia setiap Saat menyambut kedatangan tamu2 lain.…,0
20,MNH,Ejakulasi dini but never satisfied,0
21,ahmadbudiman10,Good,0
22,Menjelang Fajar,"Mantul gaess
#01IndonesiaMaju",1
23,frero raturandang,God bless you pak @jokowi #AnakPLPilihLelakiSejati #GuePLGueJokowiAmin,1
24,Acorb,if @jokowi doesn't like this tweet in 6 hours i get total control of indonesia,0
25,SouthEast Asian Studies,"Jokowi must prove his doubters wrong, not appease them ",0
26,SouthEast Asian Studies,Indonesia’s 2019 Elections: Beware the Foreign Puppet Wars in the Jokowi-Prabowo Race @Diplomat_APAC,0
27,irwan,wow..emezing emezing,0
28,Cebong Nakal,"Yess...yesss...yessss

#17AprilPilihJokowi 
#JokowiOrangBaik 
#JokowiHarapanPasti 
#OrangBaikHarusMenang
#OrangBaikDukungJokowi",1
29,Sumedang Adem,Amin,0
30,Suparyadi,Amiiin,0
31,MedcomID,Jokowi Receives Clerics from Greater Jakarta Area https://medcom.id/s/8Ky4LV6k ,1
32,Lingkar Politik,"bravo Mr. President
#bbm #bbmsatuharga #jokowi https://www.instagram.com/p/Btk8LrIgRrn/?utm_source=ig_twitter_share&igshid=1b2sbpbkr5j38 …",1
33,Tempo English,Jokowi Confronts Prabowo to Bring Proof on State Budget Leakage http://dlvr.it/QyMxyJ ,1
34,The Jakarta Globe,"#Jokowi's campaign team has accused his challenger #Prabowo of spreading fake news and hoaxes as part of a ""Russian-style"" propaganda. Prabowo hit back by reporting the president to the Election Supervisory Board. Has this pre-election tit for tat gone too far? #pilpres pic.twitter.com/a4Uf4bcU0J",0
35,dicky.bhakti,"And for me,so weird when she wrote with "" Pak Jokowi"". She never had a business with indonesian but she know how to call ""Pak"". ",0
36,Muh Chaerul Anam,"Damn boy,realistic af",0
37,Dick Grayson,This is fantastic. We need these in every port. ,0
38,Gemi Anasari,Amin,0
39,sultanGO,Menko Darmin Akui Sulit Wujudkan Janji Pertumbuhan Jokowi    http://cnn.id/366938?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed …,0
40,Sinar Cahaya,amin,0
41,Taupik Ilham,01 hade,1
42,Lestiyani Sanjaya,crtsy @finallyvalen  pic.twitter.com/KEKUYer1SO,0
43,Putera soleh,Astaga #kosongsatumetal #KotaBandung01Juara,1
44,Simbah Ultra Rare,"Error 404: Word ""murah"" not found",0
45,Nad,This is the IT we've been looking for chief,1
46,Ania,"So jokowi tomorrow will come to cianjur but im not excited for that, i hope @prabowo Come to cianjur",2
47,#01IndonesiaMaju,Stanley Greenberg Denies Any Ties to Jokowi`s Political Campaign - engteco_news http://Tempo.co ,0
48,Cebong Nakal,"Yess

#17AprilPilihJokowi 
#JokowiOrangBaik
#JokowiHarapanPasti 
#OrangBaikHarusMenang
#OrangBaikDukungJokowi",1
49,Kahlil 3l jawi (PKB Pjgoan Kbmen),jooost,0
50,ahmed,@Dewata ToLoL.. @Dewata ToLoL.. @Dewata ToLoL,0
51,Andreas Nugroho,"<LONG THREAD> Sorry for those uninterested in Indonesian military (TNI) personnel policies, but the recently announced org. changes will have serious implications. But if you're interested, let's get into the weeds shall we?",0
52,Bams Cello,"Whatever God's destiny, always predestines a brave and responsible leader ...Jokowi ia the person , greeting two periods",1
53,BK52 #Bersama Jokowi,"Pasangan Jokowi-Ma'ruf menduduki posisi pemenang dan teratas paling kanan, percakapan paling besar, sentimen positif, reputasi yg baik. 

…",1
54,Anton Nuril,"I love you Pakdhe Jokowi

#UlamaPPPBersamaJokowi",1
55,gerak jokowi,"Media Dunia Catat pakde @jokowi 
Kita Bangga Best of The BEST Leader make Good Peoples.
Lets We are VOTE nomor ONE.#01
#jokowipapua 
#jokowipresiden 
#jokowimenang 
#seputarpresiden… https://www.instagram.com/p/BtkxjYkHkPX/?utm_source=ig_twitter_share&igshid=jkpsg5935bi2 …",1
56,Creative ART,cakep ,0
57,OWL GHOST,Ciri-ciri farehose of falsehood @jokowi #CapresPilihanNetizen #GraceNatMenangkanJokowi #CegahDBD #200SekolamJualUlama #TREASURE13 #OrangBaikDukungJokowi #SumbarMemilihPrabowoSandi #Koruptor5Koma8Triliun #AkalSehatPilihPrabowoSandi #TrumpHandsOffVenezuela,1
58,#AntiFasisme,Great job @jokowi,1
59,Deiarafa,Yesss juara 01 #jokowilagi #01menangtotal #jokowimenangtotal #jokowilebihbaik,1
60,Taupik Ilham,Sing penting 01,1
61,Lestiyani Sanjaya,crtsy @irhamrajasa : pic.twitter.com/b3yjotwA31,0
62,Bilal Anggoro,"Bagi supir truk Sumatra ke Jawa, pengemudi bis, sampai pemudik, jalan tol Trans Jawa mewujudkan mimpi mereka sejak lama: perjalanan darat yang cepat, aman, nyaman, dan indah.…",1
63,Audi,"Beberapa usulan dan keputusan Jokowi untuk urusan sipil melibatkan tentara untuk eksekusinya. Hal ini menjadi indikasi potensi kembalinya dwifungsi ABRI di era Jokowi. 

…",0
64,bay_gon,"Top be ,,,",0
65,peteandcaz66,@jokowi just asking for the people of QLD and Tasmiania do you have any of the money Australia sent you from the last disaster  to help our people as they have to qualify for help where as your people didnt And we just sent it to you ?,0
66,Agus D. Luffy,Yess...it's true,0
67,Jagad Akbar Hadinoto,"Jokowi Sindir Lawan, JK: Dia Tak Pernah Mulai Duluan https://pilpres.tempo.co/read/1172842/jokowi-sindir-lawan-jk-dia-tak-pernah-mulai-duluan?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=Pilpres_Guntur …",0
68,Nong Joko,Amin,0
69,"Kevin Adhika, S.Pd.","Twitter, please do your magic 
Cc @kisbet_ @pinotski @kisbet_ @Elina_Vay @FunJunkies @Takviri @DiajengLrst @GunRomli @habibthink @jokowi @kaesangp @Chilli_Pari ",0
70,Edi Purnomo,Impor maning,0
71,Mindy Tan,"Infrastructure, consumer and tech sectors stand to gain in a Jokowi victory: Updated Fitch report. #AseanBiz #Indonesia #elections",1
72,Eko Sadoeth,Epic nih Pic,0
73,Anti Presiden Dungu,"Indonesian authorities claiming that $80,000 was paid to secure a meeting between Jokowi and Obama. ",0
74,Noka,Pak Jokowi always the best president of Indonesia ,1
75,INITIAL D,"Pengusaha Menjerit. Kargo Udara Naik 300%. Tarif Tol Juga Mahal.
Sabar...Sabar... Tinggal 68 Hari Lagi Para Pengusaha Punya Harapan Baru Setelah Memilih Sosok Lain yg…",2
76,West Papua Zone,"The Corruption Eradication Commission ensures that it will continue to investigate alleged corruption in West Papua
.
.
http://www.freewestpapua1.com/2019/02/07/kpk-ensures-persecution-does-not-stop-investigation-of-corruption-in-west-papua …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
77,Linaos,"Waw, so brilliant @jokowi",1
78,βambang|P®anowo,Brutallity...,0
79,Heryanto Liem,I thank God for LBP to stand beside Mr President.,1
80,SolehGrabeels ,I love you cinta ,0
81,Wayan another Cebongers,ADP >>> CAMFRETTTTT,0
82,Roy Lanek,Ibu Dubes Lyudmila #Vorobieva bertemu dengan Ibu Walikota #Surabaya Tri Rismaharini ,0
83,Donald,https://youtu.be/54aPmBnAj00  @XHNews @realXi_Jinping @rashtrapatibhvn @HassanRouhani @trpresidency @jokowi @Julius_S_Malema @DStvMozambique @EPN @BrazilGovNews @KenyaNews @Jah9 @LouisFarrakhan WARNING! WORLD NOTICE FOOD FOR THOUGHT VIDEO MESSAGE.,0
84,gagatR,+1 support,1
85,"AZIR 
✌️",Preeett,0
86,Bu RT,"Pak Jokowi best of the best
#CapresPilihanNetizen",1
87,Eka Tjipta Eka Dipta,Lebay,0
88,Sabilanur453,"Link; https://www.jokoway.com/kesederhanaan-jokowi-salat-jumat-di-masjid-dekat-bandara-bali/ …
#Saya01",1
89,"mohon maaf, sekadar mengingatkan  
�",I hope you get the recognition you deserve very very soon. This is awesome!,0
90,Save West Papua,"The Corruption Eradication Commission ensures that it will continue to investigate alleged corruption in West Papua
.
.
http://www.freewestpapua1.com/2019/02/07/kpk-ensures-persecution-does-not-stop-investigation-of-corruption-in-west-papua …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
91,wilsonpurba,Awesame....,0
92,naciro,Raising state revenue from state-owned companies’ dividends is one of the goals of President Joko “Jokowi” Widodo’s administration as tax revenues are inadequate to finance the country’s development programs. #AyoBuKaren,0
93,West Papua Zone,"West Papua’s economic growth throughout 2018 reached 7.33%. This figure is higher than the national growth which is only 5.17%
.
.
http://www.freewestpapua1.com/2019/02/07/growing-7-33-west-papua-economy-exceeds-national …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
94,Save West Papua,"West Papua’s economic growth throughout 2018 reached 7.33%. This figure is higher than the national growth which is only 5.17%
.
.
http://www.freewestpapua1.com/2019/02/07/growing-7-33-west-papua-economy-exceeds-national …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
95,ajangpermata2@gmail.com,"(Ini adalah bis umum di luar negeri.. can u see our President? So proud of you, pak Jokowi..ternyata being humble still can get you very far in this world.)
#Saya01",1
96,West Papua Zone,"“This figure is still in line with what we project because basically BI conducts FGD activities, surveys and we also often communicate with BPS,” said Deputy Head of BI Representative of Papua Province

http://www.freewestpapua1.com/2019/02/07/bi-west-papuas-economic-growth-according-to-projections …
#landscape #jokowi #westpapua #papua #freewestpapua",0
97,Judie Ul Haque,Mantap!!!! Go Go for #1indonesiamajuberadabadildanmakmur,1
98,gus haye,"Pagi ini bg @Dahnilanzar akan hadir ke Polda Metro Jaya, sejak awal kaki liat ini kasus terlalu dipaksakan, kuat dugaan kriminalisasi,tp namanya jg aktifis islam dakwah itu ada 2, amar makruf & nahi munkar, bg Dahnil seimbang 2 amar makruf & nahi munkarnya 
…",0
99,West Papua Zone,"The government had determined that the problem that occurred in West Papua was criminal
.
.
http://www.freewestpapua1.com/2019/02/07/tni-calls-shooting-of-storekeeper-in-puncak-jaya-including-criminal-actions …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
100,ICHSAN BILA,Just info..,0
101,dedi kaelani,"Yee, horeee...zzzzzz",0
102,Try.A,"I like you pak dengan @jokowi 
#CapresPilihanNetizen",1
103,Save West Papua,"The contribution of economic growth in the eastern region is small but their growth is higher than national growth as Maluku and West Papua
.
.
http://www.freewestpapua1.com/2019/02/07/east-indonesias-economy-grows-higher-due-to-infrastructure …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
104,The_Maverick #Generasi Revolusi Indonesia 5.0,"See Interest over time on Google Trends for jokowi ma ruf amin, PRABOWO SANDI - East Java, Past hour - ",0
105,royalvariasi,http://olx.co.id/iklan/anti-karat-mobil-wagon-march-brio-ignis-brv-xenia-calya-livina-crv-l-w-IDyDd6V.html?ad_type=OR#efd5c35d25 … Call/Wa: 0813 3432 7157 /instagram=royalvariasi #bukalapak #tokopedia #jokowi #prabowo #kompascom #kompasmuda #hariankompas #detikcom #merdekadotcom #mediaindonesia #netmedia_info #jpnncom #tribunnews #detikoto #hmetromy #e100ss #CNNIndonesia #royalvariasi pic.twitter.com/uzGVZmIo3B,0
