,Username,Tweet,Kelas
0,METROTV NEWSROOM,"""Formula One"" mendeklarasikan dukungan mereka kepada Calon Presiden dan Wakilnya Jokowi dan Ma'aruf Amin. #ElectionUpdate @Metro_TV",0
1,PUTRI KW,Jokowi - Ma'aruf amin menuju Indonesia lebih maju #01RabuHijrah,1
2,MariBerpantun,"Assalamualaikum CAK IMIN
BELI BERAS DI KOTA CIAWI..
BELINYA DI WARUNG BU MIMIN..
ORANG CERDAS CINTA JOKOWI..
YANG WAKILNYA MA'ARUF AMIN..

MASAK SAWI PAKAI ARANG..
KARENA PANAS DI DIAMIN...
PAK JOKOWI DISUKAI ORANG...
KARENA TEMANNYA CAK IMIN..
#01IndonesiaMaju #01JokowiLagi",1
3,sarnodeglenx,"Deklarasi Forum Alumni Perguruan Tinggi se Jawa Timur, untuk mendukung Jokowi Ma’aruf Amin di Pilpres 2019.

#JatimMenangkanJokowi
#JatengMenangkanJokowi
#JokowiKanJakarta
#OrangPintarMenangkanJokowi
#IndonesiaMaju",1
4,Yanti Salsabila Devi,"Al-Miftahussaadah, bersama tokoh ulama serta tokoh masyarakat mendukung pasangan Joko Widodo dan KH. Ma’aruf Amin.

#2019JokowiKyaiMaruf
#2019AcehBersama01
#Bersama01AcehLanjutkan pic.twitter.com/JaSqrJ8GRN",1
5,Silvia Rahmadhani,"Jadilah manusia yang baik dalam pandangan Allah....!!

~ K.H. Ma'aruf Amin ~

#JokowiAminLebihBaik
#JokowiAminMenangDebat 
#JokowiOrangBaik 
#JokowiAmin #pilpres2019",1
6,kor Gwen,Fokus menangkan pak @jokowi dan pak haji Ma'aruf Amin ,1
7,kendislasman,"Setelah Nonton @MataNajwa ""Politik Sarung Ma'aruf Amin"" sy makin yakin untuk memilih pasangan 01.

#IkutKyai",1
8,Ibrahim Sella,"Kami warga Nahdiin sangat bersyukur memiliki Tokoh Muda Panutan yg penuh inspiratif ""Muhaimin Iskandar"", yg terus menyuarakan kemenangan Jokowi-KH. Ma'aruf Amin. #CakIminMenangkanJokowi 
@Jokowi @EkoSandjojo @SyaifulHooda",1
9,@zaenal-tea,ini yg bisa kita mengis hati dan renungkan kita kuatkan hati kita pokus samabil mengucap bismillaahir rohmaanir rohiim kita tekadkan hati arahkan pilihan kita yg terbaik yg insa allah bisa menjadi pemimpin yg baik jokowi-kyai ma'aruf amin insa allah #IndonesiaMaju bersama mereka,1
10,@zaenal-tea,17April kita pilih pemimpin  jokowi-ma'afuf amin  jokowi dari rakyat ma'aruf amin dari ulama mereka cocok untuk menjadi pemimpin negri ini kita pilih jokowi  kita stop berita hoax  ayo kita pilih 01 jokowi-ma'aruf jangan salah ya no1 #17AprilPilihJokowi #jokowiorangbaik,1
11,Kuda Hitam,"2. Dukungan untuk pasangan calon presiden nomor urut 1 Joko Widodo - Ma'aruf Amin dari Garut, Jawa Barat terus mengalir. 

 #JabarKandangJokowi
@DediMulyadi71
@_kiranalara
@PDI_Perjuangan
@ganjarpranowo
@budimandjatmiko
@zuhairimisrawi
@tbhasanuddin",1
12,Rudi Angelo,"Pak Jokowi bersama Kyai Ma'aruf Amin, akan mampu membawa Indonesia ini hijrah ke yang lebih baik lagi
#01RabuHijrah",1
13,mediatamadotco,"VIDEO: Kyai Haji Ma'aruf Amin Sebut 'Serangan' Jokowi Bentuk Klarifikasi - ---
[ #KyaiHajiMaarufAmin, #mediatama, #Pilpres2019, #SeranganJokowi ]",0
