,Username,Tweet,Kelas
0,Gilang Rayendra,"Change your mind!!
Don't think ""Am I good for her/him?""
Start to think ""Is she/he the luckiest woman/man on earth to be with me?""

                                                       -ryndr-
Good Luck!!
#Pilpres2019 #LOVESTORY #quotesoftheday",0
1,Ana Restu Shaliha,"Heading 

 #jokowiamin #jokowiamin01 #pilpres2019 #01jokowilagi #01jokowiamin",1
2,Rhici,"Came across many things that made my view clear -demanding a change, despite not sure whether the opp. has better quality or identical. Too much option can stressing us out, but more option will lead to make even sensible choice coz easier to justify. A paradox in #Pilpres2019.",0
3,ALN,"Sepertinya saya sudah memutuskan akan memilih siapa dalam #Pilpres2019 nanti.

Saya hanya fokus pada pasangan calon. Just think bigger and wider because the world is changing now and we need to keep up with it maybe it is the time for Indonesia to shine shining brightly.",0
4,Newin Saputra,Optimis #jokowilebihbaik #jokowiamin #kyaimarufamin #pilpres2019 #jokowi2periode #jokowilebihbaik #cjraminkanjokowi,1
5,Rikardus Tanumiharja,Wake me up when Pilpres End..  #muak #wakemeup #pilpres2019,0
6,Salsabilla Nuraini,"I'm not yours!!
So, Ill do whatever i want
#Pilpres2019",0
7,IndoClubbersTV,"Fck yeahh !! 
.
.
#party #dugem #Pilpres2019 #Jokowi #clubbing #politik #Prabowo",0
8,Zamocca, wish #stephencolbert cud do a monolog on #Pilpres2019 #LSSC,0
9,Michelle Winowatan,Re-posting my op-ed in the Jakarta Post from last year here https://link.medium.com/cwBP2VFd7T  as a company to @race2istana's podcast about the first presidential debate https://www.buzzsprout.com/246385/931946-1-an-anticlimactic-beginning-with-andreas-harsono-and-sidney-jones … #Pilpres2019,0
10,TPS Republik Twiter,"THE POWER OF MEDSOS
#PrabowoPresidenku #2019GantiPresiden #PrabowoSandi2019 #PrabowoSubianto2019 #PrabowoSandiaga2019 #Gerindra #PKS #PAN #PBB #Demokrat #Berkarya #KoalisiKeumatan #PemiluDamai #NoFitnah #NoHoax #NoUjaranKebencian #HargaiPemenang #Gerindra2019 #Pilpres2019",2
11,newsberitaterkini,"Jk for Jokowi my presiden

#Viral 
#01IndonesiaMaju 
#SuryaPalohMenangkanJokowi #AlumniJatengMenangkanJokowi #KlikRMOL #OrangPintarMenangkanJokowi #JokowiPilihanTepat #Pilpres2019 ",1
12,Elwe!,"unfairness justice..
#elwecartoons #politikartun #adp #pilpres2019 ",0
13,Evening Lectures,"WANT TO COME? 
NO REGISTRATION NEEDED.
Doors @ErasmusHuis open at 6pm. 
Snacks and drinks available.

@titianggraini @BurhanMuhtadi @endybayuni #Pilpres2019 ",0
14,Aisyah Llewellyn,"Anyone, ANYONE, who describes #pilpres2019 as ""a test for democracy"" should face a six month ban from writing about Indonesia and my decision is final.",0
15,Max Walden,"Unlike w/ Palestinians & Rohingya, Indonesia has been quiet on the China's persecution of Uighur Muslims. Ahead of #Pilpres2019 it has become a rallying cry for opponents of Jokowi. But a Prabowo win would likely not change anything. Me for @ForeignPolicy",0
16,Evening Lectures,"Confused about the elections? What are the key issues? 
Come and ask @titianggraini from @perludem, @BurhanMuhtadi from @indikatorcoid and @endybayuni from @jakartapost at @ErasmusHuis
#pilpres2019 ",0
17,Max Walden,"“Indonesia needs much more ambitious leadership, from whoever wins”, writes @benjaminbland #Pilpres2019 ",0
18,Ryan Mikhael R.,I'm in #PilPres2019 #IndonesiaPilihJokowi,1
19,Nabila Bilqis As Syahidah,dismilaritas Early Recovery Assitance sebelumnya dengan Early Recovery Assitance slof Joko Widodo #jokowi #marufamin2019 #2019jokowiaja #2019jokowilagi #jokowisekalilagi #jokowimakrufamin #indonesiahebat #jokowiislamindonesia #pilpres2019 #jokowibekerja #2,1
20,Lutfi Dianto,"Mantapsss 
#jokowilebihbaik #jokowiamin #kyaimarufamin #pilpres2019 #jokowi2periode #jokowilebihbaik #cjraminkanjokowi",1
21,SiberKlik,"Jokowi Sebut Propaganda Uni Soviet ala Prabowo, Firehose of the falsehood #Firehoseofthefalsehood #jokowi #Kampanye #Pilpres2019 #prabowo #Propaganda http://siberklik.com/jokowi-sebut-propaganda-uni-soviet-ala-prabowo-firehose-of-the-falsehood/ …",0
22,Galang Perwira Taufiq,dismilaritas Early Recovery Assitance sebelumnya dengan Early Recovery Assitance slof Joko Widodo #jokowi #marufamin2019 #2019jokowiaja #2019jokowilagi #jokowisekalilagi #jokowimakrufamin #indonesiahebat #jokowiislamindonesia #pilpres2019 #jokowibekerja #2,1
23,ANU Asia & the Pacific,"How is Islam going to effect the outcome of the upcoming Indonesian election? Greg Fealy from @ANUBellSchool discussed the blurred lines between politics and religion in Indonesia on @RadioNational. #pilpres2019 
http://bit.ly/2SijGSW ",0
24,Obat Kuat Tiens,"Ready stok obat kuat tiens
#seksiindo #pilpres2019 #bispakjakarta #smanakal #bispakjogja #bispakjkt #bispaksurabaya #openbojakarta #openbosurabaya #opencs #vcskuy #chatseksindo #gadisnakal #gadisbali  #bisyar #cewekbugil #sweetgirls #snapple #toketmontok #ngentotcewek #videongewe",0
25,Elwe!,"..anda justice (not) for all..
#elwecartoons #politikartun #pilpres2019 ",0
26,Ade Putri Paramadita,"Peace, yo! #Pilpres2019 pic.twitter.com/4tTDLhrnnv",0
27,Max Walden,Indonesia's opposition has taken up the Uighur cause—but will that last if they take power? https://buff.ly/2GaNlI3 ,0
28,Max Walden,"Jakarta people! Attend @CoconutsJakarta Colloquium on February 28 where my pals @imerincook @stanleywidianto @febrofirdaus will be discussing media bias, LGBT rights, gender issues, the reliability of polling, and more in #Pilpres2019 ",0
29,Rhoma Ihrama,Strategi Firehose Of Falsehood alias #HoaxByDesing  #Pilpres2019 #Jokowi #Prabowo,0
30,Harfam Jaya Makmur,"[URGENTLY NEEDED - LEGAL STAFF] 
#lokersurabaya #lokergresik #lokersidoarjo #lowonganlegalstaff #legalstaff #legalsurabaya #legal #hukum #lowonganhukum #lowongankerja #lawyer #lawyersurabaya #sarjanahukum #Pilpres2019 ",0
31,Chealsea Castro,parak Early Recovery Assitance sebelumnya dengan Early Recovery Assitance bandela Joko Widodo #jokowi #marufamin2019 #2019jokowiaja #2019jokowilagi #jokowisekalilagi #jokowimakrufamin #indonesiahebat #jokowiislamindonesia #pilpres2019 #jokowibekerja #2019t,1
32,Jewel Topsfield,"“Jokowi’s indecision has hampered economic policy, despite his promise to turbo-charge growth & lower barriers to foreign investment.” He should set out bolder vision to revitalise economy says @benjaminbland⁩ in ⁦@FinancialReview⁩ #Pilpres2019  ",0
33,Gilnimustofasa,kontras Early Recovery Assitance sebelumnya dengan Early Recovery Assitance slof Djoko Widodo #jokowi #marufamin2019 #2019jokowiaja #2019jokowilagi #jokowisekalilagi #jokowimakrufamin #indonesiahebat #jokowiislamindonesia #pilpres2019 #jokowibekerja #2019t,1
34,Max Walden,Informative discussion between @JemmaPurdey and @ward_berenschot about his research with @EdwardAspinall on clientelism in Indonesian politics & their new book Democracy for Sale #Pilpres2019 ,0
35,Official Kosong Satu Metal Cianjur,"Optimis 
#jokowilebihbaik #jokowiamin #kyaimarufamin #pilpres2019 #jokowi2periode #jokowilebihbaik #cjraminkanjokowi",1
