,Username,Tweet,Label
0,Mawa Kresna,Salut @garnesian ,0
1,"Tamburin Similikiti  
✌",Oh ye,0
2,Yunita Romela,#Populer Artis from #Indonesia #Viral the best  song #cintaJenaka very good Song @Yanuar_Amory https://www.youtube.com/watch?v=Qm_UA6WrSP0 …  #thankunext #Home7thWin #jumatpuisi #BreakoutLive #Connect2Earth @TVRINasional @infoSUMSEL @instagram @malaysiakini @TwitterSG @KFCINDONESIA @InstagramMusic,0
3,Andreas Nova S,lol tolol,0
4,Arief Rasyad,So we muslims have only been used by @prabowo @Gerindra so far?? Does he go for Friday prayer today? #PrabowoJumatanDimana,0
5,Aras_Helmy,"Alloohumma Amiin 

#AkalSehatPilihPrabowoSandi 
#NoRockyNoParty",2
6,karlina jan,This is what i got from net @jokowi n @prabowo our country is ready for development.pick investors wisely Sir. Im proud of Indonesia as a country...i have been traveling to many countries..n wish one day we can br better than other countries ,0
7,USINDO,"Jokowi accuses challenger of employing “Russian Propaganda” in presidential race. Read more on @STcom
#USINDODailyNews #Indonesia #Russia #Prabowo #Jokowi #Fakenews",0
8,Brandon Zee,"I am with. Mr. Prabowo, sir",2
9,pengharapan,jaman lain to,0
10,prabowo for Presiden 2019,Amin....,0
11,"Redha Saidah Jamal #2019Gantipresiden 
��","Yess...
#JambiMenangkanPrabowoSandi",2
12,Zidan,Firehorse of Roballynhood,0
13,Tata,Amin,0
14,Gunadi,NO WAY!,0
15,Udiin,King of fake #01kbbjuara #kosongsatumetal,2
16,ATh_R_aLv,Waduhhhh,0
17,17AprilPrabowoPresidenRI,"Watch ""LAGU THE POWER OF EMAK - EMAK SIAK - PRABOWO SANDI"" on YouTube ",0
18,Achmad Abiid D.R,"#JambiMenangkanPrabowoSandi 
Ok bro....
 @prabowo @sandiuno 
@nay_shihab @HajrahDouboegis @fariomeda @Vife991  @abiid_d @riani_212 @PutriJambu @harysantana @gemacanNew @BasukiAyu  @Rusydi_riau40 @DLukas_________ @Teh_telor78 @ices_tea @MichelaniaAdam @Valhalla_Asgard",2
19,Djamaludin Malik,"Simple, logic ..",0
20,singa gurun #2019PrabowoPresidenRI,"Cakepp.....
#JambiMenangkanPrabowoSandi 
#JambiMenangkanPrabowoSandi",2
21,Bagus Tarmizi,Amiiiiinnn,0
22,"#2019PrabowoPresiden  
��","PRABOWO-SANDI THE BEST 

Millennials acted and took part in healthy democracies, they were delighted with the joy of supporting Prabowo-Sandi

Millennials ikut bersmngt andil dalam perjuangan @prabowo
@sandiuno
#AkalSehatPilihPrabowoSandi #AnakMudaPilihPrabowoSandi",2
23,Hari Suparmi Saputro,"yes my Allah swt , please protect and protect Indonesia from disasters and unbelievers & hypocrites. AMIN

#IndonesiaMenang 
#PrabowoSandi 
#2019GantiPresiden 

@adilmakmur02 
Al-fatihah 2019 @prabowo  @sandiuno  

president and vice president in 2019",2
24,#2019PrabowoPresidenRI,"Amin.... 

#AkalSehatPilihPrabowoSandi",2
25,Cipungpunk,Amiiin ,0
26,sebastian,Sweet2nd,0
27," ⚽
мудрая молодежь из Индонезии  
⚽
 ⚽",embarrassing you. Too confident Rocky hims support you. We just see it @prabowo  win. And it's enough your shit so far.,2
28,De Gadjah/ Big Daddy,Silence Lover Bp. Prabowo,2
29,Muhammad Faathir,Presiden gagal ,0
30,The_Maverick #Generasi Revolusi Indonesia 5.0,Jokowi vs Prabowo : Who is The Best for Indonesia ? ,0
31,Nur,Prabowo Sandi and  Glory,2
32,Tempo English,Prabowo Camp Accuse Pollsters for Being Biased Toward Jokowi http://dlvr.it/QyRkDQ ,0
33,"A'Rest  
�",PRABOWO FOR PRESIDEN,2
34,Bambang sugiyanto,"the best of the bes 
prabowo&sandiaga uno",2
35,thevine,Proud of you Pak @prabowo,2
36,Sam Ting Wong,I do think you speak russian better than english,0
37,@Kang sambo,Preeet...,0
38,ℂℍℰℛℽ,"Petugas Partai ( I Don't Read What I Sign) 
#JambiMenangkanPrabowoSandi",2
39,"A 
2⃣
is Trah tJandie'08","Poll..
#JambiMenangkanPrabowoSandi 
#JambiMenangkanPrabowoSandi",2
40,Taufik Wijayakusuma,"Bung, who used to say who the PKI is ? You have to think more healthy and know the issues that are developing.
In the past, those who made the PKI issue were PRABOWO own camp against Pak JOKOWI, now you pretend that BEGO said PRABOWO was accused of being PKI.
It's called you BEGO",0
41,Danny Tj,Aminnn ,0
42,norind,SOP nya playing victim,0
43,Mario Blankon,#2019PrabowoPresidenRI  unstopable,2
44," Ⓜ
ario Rustan  
��
 ��",A recent survey shows Indonesians are interested in and accept human rights - but acceptance of human rights has its limits http://indonesiaatmelbourne.unimelb.edu.au/do-indonesians-still-care-about-human-rights/ …,0
45," �
orangpinggiran 
�
 ❤",Amin..#2109prabowopresiden,2
46,Fakhri,Answered this Firehose of Falsehood thing as far as I know.,0
47,Sayap Kanan,"Indonesian Presidential Election 2019 – Old Soldiers Never Die: Retired Officers Behind Jokowi, Prabowo https://www.rsis.edu.sg/rsis-publication/rsis/indonesian-presidential-election-2019-old-soldiers-never-die-retired-officers-behind-jokowi-prabowo/#.XFFrqlwzbIU …",0
48,Nado,"Probably need to mute ""01"", ""02"", ""Jokowi"", and ""Prabowo"" because every single day trending topic filled with these shits. Oh have you ever see the tweets itself? All of them are weirdly structured/not natural, pretty sure most of them are hired buzzers/bots.",0
49,SenjakalaRezimKodok#PAS02,"Keep on fighting 
#JambiMenangkanPrabowoSandi",2
50,Tempo English,Jokowi and Prabowo Promises to Look After TNI Welfare http://dlvr.it/QyRLXW ,0
51,Aphosahareng,Amin,0
52,jmax162,hatrick dong,0
53,aditia noegroho,Itu display,0
54,Dian Fatwa PAN,Prabowo Camp Accuse Pollsters for Being Biased Toward Jokowi http://po.st/DzC9Qp  via @po_st,0
55,"A 
2⃣
is Trah tJandie'08","Cakepp
#JambiMenangkanPrabowoSandi 
#JambiMenangkanPrabowoSandi",2
56,Lex Hendriks,Thanks,0
57,Ferry Bozzio,Blitz? ,0
58,Belalank,"Sumber :
https://seword.com/umum/prabowo-maling-teriak-maling-_2ie3-jFM?fbclid=IwAR3IH7o1neBlvT6fqJQK6yh0uUfIckRHpYPMQjGsXzM087oYGeHmmkpC7iY …",0
59,Fendri Agus Triawan,Sambil pake hashtag dong?! #AgnezMo #SocialStarAward #iHeartAwards thanks,0
60,TIRTA,"Pemimpin & Agama 
A Thread

1. Saya tidak setuju ketika agama dijadikan penentu untuk memilih…",0
61,Naga,@BobbySrn mention for follback. Follow for follow. Follow for lyfe. Lyfe is follow. Follow number 1. Number 2 is prabowo,0
62,Adidarmadi4327@com Id,Amin,0
63,Somatd,"#jokowijumatansyutingdimana

Firehose of Falsehood dr 2014 sudah dipakek #jasnev 
#Jambimenangkanprabowosandi",2
64,"#2019PrabowoPresidenRI  
�","Hadiiir 
#JambiMenangkanPrabowoSandi",2
65,singa gurun #2019PrabowoPresidenRI,"Gohead..
#JambiMenangkanPrabowoSandi 
#JambiMenangkanPrabowoSandi",2
66,"pilih 02. Kita Aman, Adil, Sejahtera","Gus Dus juga mengakui kalau Pak @prabowo itu orang yang ikhlas... 
#JambiMenangkanPrabowoSandi
#JambiMenangkanPrabowoSandi ",2
