,Username,Tweet,Kelas,,
0,Senno & Miracle Band,"E-Talkshow LIVE TV ONE With SANDIAGA UNO

Music By Miracle Entertainment",0,,
1,ey,idk why but its funny how emak emak are crushing on sandiaga uno lmsjso,0,,
2,Dinda,Can we just stop talking about politics atm and appreciate Sandiaga Uno for being that handsome and awet muda and cool and,0,,
3,Yosefardi News,"Prabowo Subianto and his running mate Sandiaga Uno (Prabowo-Sandi) named five people who they’d consider for the position of attorney general if they’re elected
http://yosefardi.com/2019/02/04/prabowo-sandi-their-cabinet-rhetorics/ …",0,,
4,nurlayla006@gmail.co,I love u Sandiaga Uno  ,2,,
5,Alda,WELL SANDIAGA UNO : RICH AND HANDSOME,2,,
6,riri zulkarnaen,You like Sandiaga Uno at indonesia ..very smart ..very handsome..and always welcome ..and care everybody and every country ..wish u all the best sir..muach,2,,
7,Bambang sugiyanto,"the best of the bes 
prabowo&sandiaga uno",2,,
8,Jenny Rompu,Sandiaga Uno is hitting by those aging issues. Now he looks as old as everyone. I am sad. ,0,,
9,Pendopo Labs,"On Thursday 17 January 2019 the first debate between the two presidential pairs - (1) Joko Widodo & Ma'ruf Amin and (2) Prabowo Subianto & Sandiaga Uno - took place at Hotel Bidakara in Pancoran (South Jakarta). 
#jakarta #elections #indonesia #debate
Read:https://www.indonesia-investments.com/news/news-columns/road-to-indonesia-s-2019-presidential-election-gap-narrows-after-1st-presidential-debate/item9075 …",0,,
10,"J  
❄","Is it just me or manggil nama lengkap pas lagi serius ato mau marah-marah only happen in novel?

Like,
""Sandiaga Uno, listen to me.""

Heck. It really didn't happen in my real life and me, who have ten syllabels as full name sincerely can't relate.",0,,
11,"hanum 
�",Why the hell gw suddenly obsessed with Sandiaga uno ?? Like omg not gonna Lie though sih but i find that he’s actually attractive dan literally ganteng asfffff lahhh. Hahah,0,,
12,#2019PrabovvoSantuy,"As the nation with the largest Muslim population in the world, it was only a matter of time before Indonesian authorities looked into the Nike Air Max controversy as well
https://coconuts.co/jakarta/news/indonesian-police-inspect-nike-factory-search-air-max-shoes-allegedly-containing-word-allah-sole/ …",0,,
